title,first_author,publication_name,publication_year,doi,pmid,publication_link,open_access,full_text_available,preprint_available,preprint_link
Transcriptomic and epigenetic mechanisms controlling cholangiocyte transdifferentiation into hepatocytes,"Galanakis, V., et al. ",Journal of Hepatology,2025,10.1016/j.jhep.2025.09.021.,41033615,https://www.journal-of-hepatology.eu/article/S0168-8278(25)02516-4/fulltext,TRUE,TRUE,,
A platform for the biomedical application of large language models,"Lobentanzer, S. et al",Nature Biotechnology,2025,10.1038/s41587-024-02534-3,39843580,https://www.nature.com/articles/s41587-024-02534-3,FALSE,,,
EMBL's European Bioinformatics Institute (EMBL-EBI) in 2024,"Thakur, M. et al.",Nucleic Acids Research,2024,10.1093/nar/gkae1089,39607697,https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gkae1089/7912039,TRUE,TRUE,FALSE,
Base editing screens define the genetic landscape of cancer drug resistance mechanisms,"Coelho, M et al.",Nature Genetics,2024,10.1038/s41588-024-01948-8,39424923,https://www.nature.com/articles/s41588-024-01948-8,TRUE,FALSE,FALSE,
Archetypes of Open Science Partnerships: connecting aims and means in open biomedical research collaborations,"Norn, MT. et al",Humanities and Social Sciences Communications,2024,10.1057/s41599-024-03682-2,,https://www.nature.com/articles/s41599-024-03682-2,TRUE,FALSE,,
Can AlphaFold's breakthrough in protein structure help decode the fundamental principles of adaptive cellular immunity?,"McMaster, B. et al.",Nat Methods,2024,10.1038/s41592-024-02240-7,38654083,https://rdcu.be/dHc1T,FALSE,FALSE,,
CMAT: ClinVar Mapping and Annotation Toolkit,"Shen, A. et al.",Bioinformatics Advances,2024,10.1093/bioadv/vbae018,38384863,https://academic.oup.com/bioinformaticsadvances/advance-article/doi/10.1093/bioadv/vbae018/7602576,TRUE,TRUE,,
Towards a structurally resolved human protein interaction network,"Burke, DF, Bryant, P, Barrio-Hernandez, I, Memon, D, Pozzati, G, et al.",Nat Struct Mol Biol,2023,10.1038/s41594-022-00910-8,36690744,https://www.nature.com/articles/s41594-022-00910-8,TRUE,TRUE,,
EMBL's European Bioinformatics Institute (EMBL-EBI) in 2023,"Thakur, M. et al.",Nucleic Acids Research,2023,10.1093/nar/gkad1088,38015445,https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gkad1088/7453257,TRUE,TRUE,,
ChatGPT usage in the Reactome curation process,"Tiwari, K., et al.",bioRxiv,2023,10.1101/2023.11.08.566195,37986970,https://www.biorxiv.org/content/10.1101/2023.11.08.566195v1,TRUE,TRUE,TRUE,https://www.biorxiv.org/content/10.1101/2023.11.08.566195v1
