title,first_author,publication_name,publication_year,doi,pmid,publication_link,open_access,full_text_available,preprint_available,preprint_link
Network-Based Approaches for Drug Target Identification,"Koutsandreas, T., et al.",Annual Review of Biomedical Data Science,2025,10.1146/annurev-biodatasci-101424-120950,40239307,https://www.annualreviews.org/content/journals/10.1146/annurev-biodatasci-101424-120950,TRUE,TRUE,,
Natural language processing in drug discovery: bridging the gap between text and therapeutics with artificial intelligence,"Withers, CA. et al.",Expert Opinion on Drug Discovery,2025,10.1080/17460441.2025.2490835,40298230,https://www.tandfonline.com/doi/full/10.1080/17460441.2025.2490835,TRUE,TRUE,,
Open Targets: 10 years of partnership in target discovery,"Hulcoop, D., et al",Nature Reviews Drug Discovery,2024,10.1038/d41573-024-00204-2,39690268,https://www.nature.com/articles/d41573-024-00204-2,FALSE,FALSE,,
Human Genetics and Genomics for Drug Target Identification and Prioritization: Open Targets Perspective,"McDonagh, E et al.",Annual Review of Biomedical Data Science,2024,10.1146/annurev-biodatasci-102523-103838,38608311,https://www.annualreviews.org/content/journals/10.1146/annurev-biodatasci-102523-103838,FALSE,TRUE,,
Genetic support for FDA-approved drugs over the past decade,"Rusina, P et al.",Nature Reviews Drug Discovery,2023,10.1038/d41573-023-00158-x,37803084,https://www.nature.com/articles/d41573-023-00158-x,FALSE,FALSE,,
Future prospects for human genetics and genomics in drug discovery,"Ghoussaini, M et al.",Current Opinion in Structural Biology,2023,10.1016/j.sbi.2023.102568,36963162,https://www.sciencedirect.com/science/article/pii/S0959440X23000428,FALSE,TRUE,,
Computational estimation of quality and clinical relevance of cancer cell lines,"Trastulla, L et al.",Molecular Systems Biology,2022,10.15252/msb.202211017,35822563,https://www.embopress.org/doi/full/10.15252/msb.202211017,TRUE,TRUE,,
Mining a GWAS of Severe Covid-19,"Karim, M et al.",The New England Journal of Medicine,2020,10.1056/NEJMc2025747,33289971,https://www.nejm.org/doi/full/10.1056/NEJMc2025747,FALSE,FALSE,,
From GWAS to Function: Using Functional Genomics to Identify the Mechanisms Underlying Complex Diseases,"Cano-Gamez, E & Trynka, G",Frontiers in Genetics,2020,10.3389/fgene.2020.00424,32477401,https://www.frontiersin.org/article/10.3389/fgene.2020.00424,FALSE,TRUE,,
Ten simple rules for making training materials FAIR,"Garcia, L et al.",PLoS Computational Biology,2020,10.1371/journal.pcbi.1007854,32437350,https://doi.org/10.1371/journal.pcbi.1007854,TRUE,TRUE,,
Applications of machine learning in drug discovery and development,"Vamathevan, J et al.",Nature Reviews Drug Discovery,2019,10.1038/s41573-019-0024-5,30976107,https://www.nature.com/articles/s41573-019-0024-5,FALSE,TRUE,,
Ten simple rules for delivering live distance training in bioinformatics across the globe using webinars,"Carvalho-Silva, D et al.",PLoS Computational Biology,2018,10.1371/journal.pcbi.1006419,30439935,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1006419,TRUE,TRUE,,
Computational approaches for interpreting scRNAâ€seq data,"Rostom, R et al.",Febs Letters,2017,10.1002/1873-3468.12684,28524227,https://febs.onlinelibrary.wiley.com/doi/full/10.1002/1873-3468.12684,TRUE,TRUE,,
Harnessing public domain data to discover and validate therapeutic targets,Reisdorf WC et al.,Expert Opinion on Drug Discovery,2017,10.1080/17460441.2017.1329296,28494630,https://www.tandfonline.com/doi/abs/10.1080/17460441.2017.1329296,FALSE,FALSE,,
The impact of rare and low-frequency genetic variants in common disease,"Bomba, L et al.",Genome Biology,2017,10.1186/s13059-017-1212-4,28449691,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-017-1212-4,TRUE,TRUE,,
Use of Biomedical Ontologies for Integration of Biological Knowledge for Learning and Prediction of Adverse Drug Reactions,"Zaman, S et al.",Gene Regulation and Systems Biology,2017,10.1177/1177625017696075,28469412,https://journals.sagepub.com/doi/10.1177/1177625017696075,FALSE,TRUE,,
Genetics and immunity in the era of single-cell genomics,Vieira Braga FA et al.,Human Molecular Genetics,2016,10.1093/hmg/ddw192,27412011,https://academic.oup.com/hmg/article/25/R2/R141/2198146,TRUE,TRUE,,
Using human genetics to make new medicines,"Barrett, JC et al.",Nature Reviews Genetics,2015,10.1038/nrg3998,26370900,https://www.nature.com/articles/nrg3998,FALSE,FALSE,,
Understanding inflammatory bowel disease via immunogenetics,"de Lange, KM et al.",Journal of Autoimmunity,2015,10.1016/j.jaut.2015.07.013,26257098,https://www.sciencedirect.com/science/article/pii/S0896841115300147,TRUE,TRUE,,
Strategies for fine-mapping complex traits,"Spain, SL et al.",Human Molecular Genetics,2015,10.1093/hmg/ddv260,26157023,https://academic.oup.com/hmg/article/24/R1/R111/671614,TRUE,TRUE,,
